id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references
4374395,DAV,Lichens,,PreservedSpecimen,f0a71824-ded2-4bd5-89d6-9aa6b1c86765,DAV236157,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Lecanoraceae|Lecanora,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora versicolor,65552,(Pers.) Ach.,Lecanora,,versicolor,,,Species,D. Showers,,,,,,,D. Showers,,1546,1975/04/05,1975,4,5,95,,"April 5, 1975",,,On rock.,,,,,,,,,,,,,,,,,United States,California,Lake,,"Lake Pillsbury. [Exact location unknown, coordinates estimated based on collector's locality.]",,0,,39.422297,-122.946003,WGS84,3000,,Karen Kyutoku,,GeoLocate,,,,,,,,,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:f0a71824-ded2-4bd5-89d6-9aa6b1c86765,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374395
4374396,DAV,Lichens,,PreservedSpecimen,0efe8ba3-a8c3-4820-b339-f74614787690,DAV236156,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Lecanoraceae|Lecanora,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora strobilina,263415,Ach. nom. illegit.,Lecanora,,strobilina,,,Species,,,,,,,,Shirley Tucker,,36448,1999/03/03,1999,3,3,62,,"March 3, 1999",,,"On olive bark, twigs.","C-, scurfy exciple.",,,,,,,,,,,,,,,,United States,California,Santa Barbara,,"""Lotusland"" Botanical Garden, Montecito, Santa Barbara.",,,,,,,,,,,,,,,,,,,,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:0efe8ba3-a8c3-4820-b339-f74614787690,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374396
4374397,DAV,Lichens,,PreservedSpecimen,634698c5-509a-4b61-b1a0-2935000745bd,DAV236155,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Lecanoraceae|Lecanora,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora weberi,53914,B.D. Ryan,Lecanora,,weberi,,,Species,Bruce Ryan,1988,,Arizona State University,,,,S. Shushan,W. A. Weber,S 3218 A,1955/04/17,1955,4,17,107,,17 April 1955,,Pseudotsuga forest.,On shaded rock surfaces.,An extreme non-umbilicate modification.,,,,,,,,,,,,,,,,United States,Colorado,Boulder,,"Northwest slope of Green Mountain between Scout Cabin and Twin Springs. Foothills of Front Range just southwest of Boulder. [Exact location unknown, coordinates estimated based on collector's locality.]",,0,,39.700784,-105.188335,WGS84,1000,,Karen Kyutoku,,GeoLocate,,,2134,,,,,7000 ft.,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:634698c5-509a-4b61-b1a0-2935000745bd,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374397
4374398,DAV,Lichens,,PreservedSpecimen,ab58a98d-9a7b-429c-9832-45869b85ec90,DAV236154,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Lecanoraceae,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,51988,Ach.,Lecanora,,,,,Genus,,,,,,,,W. A. Weber,"K. Holmen, S. Christiansen",S 19309,1961/08/23,1961,8,23,235,,23 August 1961,,"Trees along the road, Ulmus scabra and Fraxinus excelsior.",,,,,,,,,,,,,,,,,,Denmark,,,,"East coast of Sjaelland, south of Copenhagen: Greve Parish.",,,,,,,,,,,,,,,,,,,,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:ab58a98d-9a7b-429c-9832-45869b85ec90,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374398
4374399,DAV,Lichens,,PreservedSpecimen,c49c3a5c-b793-4aca-a87e-34c218ec3df0,DAV236161,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Lecanoraceae,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,51988,Ach.,Lecanora,,,,,Genus,,,,,,,,W. A. Weber,,75-35,1975/02/22,1975,2,22,53,,22 Feb. 1975,,,,,,,,,,,,,,,,,,,,United States,California,Solano,,"Valley of Putah Creek between Winters and Berryessa Dam, east base of inner coast range.",,,,,,,,,,,,,,,,,,,,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:c49c3a5c-b793-4aca-a87e-34c218ec3df0,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374399
4374400,DAV,Lichens,,PreservedSpecimen,c5eb6316-ca74-4070-a159-e687b26d0d85,DAV236160,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecideales|Lecideaceae|Lecidea,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Lecidea atrobrunnea,54065,(Raymond ex Lam. & DC.) Schaer.,Lecidea,,atrobrunnea,,,Species,unknown,s.d.,,,,,,Shirley Cotter Tucker,,222B,1949/09/17,1949,9,17,261,,"Sept. 17, 1949",,,,"Foliose, brown-black, with salt-like incrustations in center. Fruits black.",,,,,,,,,,,,,,,,United States,Colorado,Larimer,,"Milner Pass, Rocky Mountain National Park. [Exact location unknown, coordinates estimated based on collector's locality.]",,0,,40.3333,-105.7,WGS84,15000,,Karen Kyutoku,,GeoLocate,,,3353,,,,,11000 ft.,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:c5eb6316-ca74-4070-a159-e687b26d0d85,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374400
4374420,DAV,Lichens,,PreservedSpecimen,17c2a73f-8556-4409-af46-8a1224e711a8,DAV236159,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecideales|Lecideaceae|Lecidea,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Lecidea atrobrunnea,54065,(Raymond ex Lam. & DC.) Schaer.,Lecidea,,atrobrunnea,,,Species,M. A. Hewlett,,,,,,,M. A. Hewlett,,1034 mah,1978/09/30,1978,9,30,273,,9/30/78,,,On andesite.,,,,,,,,,,,,,,,,,United States,California,Alpine,,"At Ebbetts Pass along Highway 4. [Exact location unknown, coordinates estimated based on collector's locality.]",,0,,38.544353,-119.811846,WGS84,90,,Karen Kyutoku,,GeoLocate,,,2661,,,,,8730',,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:17c2a73f-8556-4409-af46-8a1224e711a8,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374420
4374421,DAV,Lichens,,PreservedSpecimen,d10a8584-e605-43fa-a067-04cc3365a794,DAV236158,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecideales|Lecideaceae|Lecidea,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Lecidea atrobrunnea,54065,(Raymond ex Lam. & DC.) Schaer.,Lecidea,,atrobrunnea,,,Species,,,,,,,,Shirley Tucker,Ken Tucker,37718,2002/06/29,2002,6,29,180,,"June 29, 2002",,Ridge with scant but unusual vegetation.,On shale.,,,,,,,,,,,,,,,,,United States,California,Glenn,,"The Barrens, about 45 miles west of Willows on California Highway 162 to 307 to FH 7, Mendocino National Forest, Inner Coast Range.",,,,,,,,,,,,,,,,,,,,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:d10a8584-e605-43fa-a067-04cc3365a794,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374421
4374422,DAV,Lichens,,PreservedSpecimen,96796cf1-ee06-41f3-898a-311d63017a90,DAV236133,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecideales|Lecideaceae,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Lecidea,52005,Ach.,Lecidea,,,,,Genus,Shirley Tucker,2001,,,,,,M. A. Hewlett,,1065 a mah,1978/10/01,1978,10,1,274,,10/1/78,,,On bark of Quercus kelloggii.,,,,,,,,,,,,,,,,,United States,California,Alpine,,"In picnic area approximate 1 mile west of Cottage Springs Ski Area on Highway 4. [Exact location unknown, coordinates estimated based on collector's locality.]",,0,,38.356025,-120.230347,WGS84,1000,,Karen Kyutoku,,GeoLocate,,,1829,,,,,6000',,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:96796cf1-ee06-41f3-898a-311d63017a90,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374422
4374423,DAV,Lichens,,PreservedSpecimen,a31a3271-a651-4e26-8839-2e38162c7280,DAV236132,,Fungi|Dikarya|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecideales|Lecideaceae|Lecidea,Fungi,Ascomycota,Lecanoromycetes,Lecideales,Lecideaceae,Lecidea atrobrunnea,54065,(Raymond ex Lam. & DC.) Schaer.,Lecidea,,atrobrunnea,,,Species,Shirley Tucker,2004,,,,,,W. A. Weber,,75-55,1975/02/20,1975,2,20,51,,20 Feb. 1975,,,,,,,,,,,,,,,,,,,,United States,California,Solano,,"Valley of Putah Creek between Winters and Berryessa Dam, east base of inner coast range.",,,,,,,,,,,,,,,,,,,,,,kkyutoku,2021/11/16 11:21,,117,urn:uuid:a31a3271-a651-4e26-8839-2e38162c7280,https://lichenportal.org/cnalh/collections/individual/index.php?occid=4374423
